path_name,noise_level,loss,relative_loss
causal,9.999999999999999e-06,0.30936727206707,1.0000501098496275
causal,9.999999999999999e-06,0.3093584496259689,1.0000215907269248
causal,9.999999999999999e-06,0.30930165977478025,0.9998380137876445
causal,9.999999999999999e-06,0.3092917647600174,0.9998060274998435
causal,9.999999999999999e-06,0.3093317428827286,0.9999352594180803
causal,9.999999999999999e-06,0.3093501804113388,0.9999948599452751
causal,9.999999999999999e-06,0.3092954859495163,0.9998180564903125
causal,9.999999999999999e-06,0.3093729276418686,1.0000683918681512
causal,9.999999999999999e-06,0.3093536436796188,1.000006055188394
causal,9.999999999999999e-06,0.30931549174785616,0.9998827265528365
causal,1.623776739188721e-05,0.30932128443717954,0.9999014518031044
causal,1.623776739188721e-05,0.3092702121496201,0.999736357265331
causal,1.623776739188721e-05,0.30942246177196503,1.0002285142104834
causal,1.623776739188721e-05,0.3092880774259567,0.9997941079493112
causal,1.623776739188721e-05,0.30934304611682895,0.9999717978677624
causal,1.623776739188721e-05,0.3093611866950989,1.0000304384833982
causal,1.623776739188721e-05,0.3093534588098526,1.0000054575846826
causal,1.623776739188721e-05,0.30930059027671813,0.9998345565646249
causal,1.623776739188721e-05,0.3093461642742157,0.9999818775171587
causal,1.623776739188721e-05,0.30929429924488067,0.9998142203893143
causal,2.6366508987303552e-05,0.3093383274078369,0.9999565443297449
causal,2.6366508987303552e-05,0.3093597569227219,1.0000258166498954
causal,2.6366508987303552e-05,0.3094076915740967,1.0001807685717736
causal,2.6366508987303552e-05,0.3093781318664551,1.0000852148673478
causal,2.6366508987303552e-05,0.30933703982830046,0.999952382143977
causal,2.6366508987303552e-05,0.30943079323768613,1.0002554462228903
causal,2.6366508987303552e-05,0.30943588082790374,1.0002718921937972
causal,2.6366508987303552e-05,0.30943706815242766,1.0002757302986254
causal,2.6366508987303552e-05,0.30923267002105714,0.9996149998588333
causal,2.6366508987303552e-05,0.309392488861084,1.0001316247993353
causal,4.281332398719396e-05,0.30927523131370543,0.9997525820442528
causal,4.281332398719396e-05,0.30933857464790343,0.9999573435495656
causal,4.281332398719396e-05,0.3092537866353989,0.9996832607073419
causal,4.281332398719396e-05,0.30927463593482973,0.9997506574427717
causal,4.281332398719396e-05,0.30950198905467985,1.0004855913967146
causal,4.281332398719396e-05,0.3094832115650177,1.0004248919229988
causal,4.281332398719396e-05,0.30955780889987944,1.0006660327276629
causal,4.281332398719396e-05,0.30944565148353576,1.0003034764825063
causal,4.281332398719396e-05,0.30943820374011993,1.000279401160733
causal,4.281332398719396e-05,0.30931254489421844,0.9998732006541063
causal,6.951927961775604e-05,0.30901031193733214,0.9988962126885894
causal,6.951927961775604e-05,0.3092420550107956,0.9996453374571066
causal,6.951927961775604e-05,0.3093614065885544,1.0000311493034952
causal,6.951927961775604e-05,0.309481694316864,1.0004199873182789
causal,6.951927961775604e-05,0.30935102219581606,0.9999975810691139
causal,6.951927961775604e-05,0.3091425054550171,0.9993235369527204
causal,6.951927961775604e-05,0.3091361010313034,0.9993028342306916
causal,6.951927961775604e-05,0.3095385348320007,1.0006037280321125
causal,6.951927961775604e-05,0.3095726531267166,1.0007140176698965
causal,6.951927961775604e-05,0.3098422438383102,1.001585487424736
causal,0.00011288378916846884,0.30898190166950223,0.9988043746241609
causal,0.00011288378916846884,0.3095479644298553,1.0006342098290633
causal,0.00011288378916846884,0.31041842074394227,1.0034480172712843
causal,0.00011288378916846884,0.30909216187000277,0.9991607979939824
causal,0.00011288378916846884,0.30979120337963106,1.0014204957759174
causal,0.00011288378916846884,0.3088562601566315,0.9983982301476992
causal,0.00011288378916846884,0.30949907698631285,1.0004761779436662
causal,0.00011288378916846884,0.3097286702156067,1.001218353199122
causal,0.00011288378916846884,0.30940305094718934,1.0001657674392446
causal,0.00011288378916846884,0.30951944003105164,1.000542002828735
causal,0.00018329807108324357,0.30864980609416964,0.9977308537750651
causal,0.00018329807108324357,0.3095043259382248,1.000493145526892
causal,0.00018329807108324357,0.30936264226436616,1.00003514370705
causal,0.00018329807108324357,0.309237486410141,0.9996305691541896
causal,0.00018329807108324357,0.30900267264842984,0.9988715181833987
causal,0.00018329807108324357,0.30948944680690765,1.0004450477536246
causal,0.00018329807108324357,0.3098789735078812,1.0017042185039602
causal,0.00018329807108324357,0.3105045776844025,1.003726525263406
causal,0.00018329807108324357,0.31009483065605165,1.0024019909712847
causal,0.00018329807108324357,0.3093091709136963,0.9998622940395533
causal,0.00029763514416313193,0.30991959702968597,1.0018355367173313
causal,0.00029763514416313193,0.3100083568096161,1.0021224585596977
causal,0.00029763514416313193,0.30842292382717135,0.9969974418840186
causal,0.00029763514416313193,0.30962404203414917,1.000880135702291
causal,0.00029763514416313193,0.30932482221126556,0.9999128878911551
causal,0.00029763514416313193,0.30916927754879,0.9994100795114713
causal,0.00029763514416313193,0.3092640063524246,0.999716296616622
causal,0.00029763514416313193,0.30970289034843446,1.0011350180782954
causal,0.00029763514416313193,0.3095737709760666,1.000717631191643
causal,0.00029763514416313193,0.3101249950408936,1.0024994993346392
causal,0.0004832930238571752,0.310378874206543,1.0033201804810314
causal,0.0004832930238571752,0.3102931441307068,1.003043052356959
causal,0.0004832930238571752,0.3096401806354523,1.0009323047953502
causal,0.0004832930238571752,0.3111241424560547,1.005729309248311
causal,0.0004832930238571752,0.3134193108558655,1.0131485924679549
causal,0.0004832930238571752,0.3113689628601074,1.0065207073504132
causal,0.0004832930238571752,0.3132444530010223,1.0125833529202304
causal,0.0004832930238571752,0.31211019282341,1.0089167820911953
causal,0.0004832930238571752,0.3098557524442673,1.00162915488439
causal,0.0004832930238571752,0.3142618715286255,1.0158722254098582
causal,0.0007847599703514606,0.3113794162750244,1.006554498703539
causal,0.0007847599703514606,0.3121867610216141,1.0091642938415928
causal,0.0007847599703514606,0.3116864588499069,1.007547034076425
causal,0.0007847599703514606,0.30993695344924926,1.0018916424882325
causal,0.0007847599703514606,0.3145919272422791,1.016939152271547
causal,0.0007847599703514606,0.317825709605217,1.0273925670289579
causal,0.0007847599703514606,0.31637175521850586,1.0226925635850526
causal,0.0007847599703514606,0.31613720879554746,1.0219343768044111
causal,0.0007847599703514606,0.3154183961391449,1.0196107674866135
causal,0.0007847599703514606,0.31581832990646364,1.02090357976526
causal,0.0012742749857031334,0.3191080738306046,1.0315378939599464
causal,0.0012742749857031334,0.3282502287149429,1.0610905125522672
causal,0.0012742749857031334,0.32749808700084687,1.058659164857411
causal,0.0012742749857031334,0.32355649526119235,1.0459177096094578
causal,0.0012742749857031334,0.3226735574245453,1.0430635548224
causal,0.0012742749857031334,0.31280030428171157,1.0111476128932764
causal,0.0012742749857031334,0.3279094580411911,1.059988948875405
causal,0.0012742749857031334,0.3261226131439209,1.054212854901858
causal,0.0012742749857031334,0.3209802478551865,1.037589819965018
causal,0.0012742749857031334,0.31957933526039123,1.0330612776116077
causal,0.00206913808111479,0.34480955476760866,1.1146196261115515
causal,0.00206913808111479,0.3405259339809418,1.1007725394121812
causal,0.00206913808111479,0.3437866584777832,1.1113130463942797
causal,0.00206913808111479,0.34247202928066256,1.1070634208142764
causal,0.00206913808111479,0.3316963178396225,1.0722302229187222
causal,0.00206913808111479,0.3580775438785553,1.1575092759417676
causal,0.00206913808111479,0.34434033358097077,1.1131028376804235
causal,0.00206913808111479,0.35795737957954404,1.1571208369203312
causal,0.00206913808111479,0.3360658405303955,1.0863549931883798
causal,0.00206913808111479,0.3500258046865463,1.1314814979882437
causal,0.003359818286283781,0.44949223647117614,1.4530132985822135
causal,0.003359818286283781,0.4268692923307419,1.3798831396562286
causal,0.003359818286283781,0.47271359038352967,1.5280778565612865
causal,0.003359818286283781,0.44123871755599975,1.4263332543660991
causal,0.003359818286283781,0.45681694231033326,1.4766908932745093
causal,0.003359818286283781,0.43582686722278596,1.4088390912503352
causal,0.003359818286283781,0.46482049210071563,1.5025628958091652
causal,0.003359818286283781,0.40780958933830264,1.3182713927382874
causal,0.003359818286283781,0.4775460841417313,1.5436992113395303
causal,0.003359818286283781,0.41166891956329343,1.3307469322149108
causal,0.005455594781168514,1.882441856956482,6.085117450389962
causal,0.005455594781168514,1.1728007354736327,3.7911557240866047
causal,0.005455594781168514,1.214552130317688,3.9261198614408643
causal,0.005455594781168514,1.6649106344223021,5.381933427278856
causal,0.005455594781168514,1.293987441253662,4.182899742831284
causal,0.005455594781168514,0.9966371867179871,3.2216954346789066
causal,0.005455594781168514,0.9985251554489136,3.2277984181139048
causal,0.005455594781168514,1.116811077594757,3.6101654624532613
causal,0.005455594781168514,2.1578677753448487,6.975449896027605
causal,0.005455594781168514,1.6017309280395509,5.177700859670218
causal,0.008858667904100823,5.955681903076172,19.252134531249073
causal,0.008858667904100823,8.10088399658203,26.18664177542546
causal,0.008858667904100823,19.2536780670166,62.23878413924457
causal,0.008858667904100823,7.569612088012695,24.469270293384525
causal,0.008858667904100823,3.24684683303833,10.495646518617374
causal,0.008858667904100823,3.6287636749267578,11.7302178975871
causal,0.008858667904100823,4.07393313293457,13.169257529697557
causal,0.008858667904100823,11.79600965270996,38.131379153844016
causal,0.008858667904100823,4.674466232299805,15.11052037878891
causal,0.008858667904100823,4.964538486480713,16.048198070807526
causal,0.01438449888287663,260.67155676269533,842.6379986267299
causal,0.01438449888287663,554.2399388671874,1791.6171547293402
causal,0.01438449888287663,200.941468359375,649.5565486402604
causal,0.01438449888287663,250.247238671875,808.9407029102902
causal,0.01438449888287663,311.0794095703125,1005.5847072449983
causal,0.01438449888287663,219.0901288574219,708.2232906114687
causal,0.01438449888287663,279.5058168945312,903.5209866297256
causal,0.01438449888287663,568.589175,1838.0020068664026
causal,0.01438449888287663,226.06686552734374,730.7760520155084
causal,0.01438449888287663,222.69304772949218,719.8699634793473
causal,0.023357214690901212,410358.5234,1326510.9901959244
causal,0.023357214690901212,32052.918025,103613.17141831674
causal,0.023357214690901212,83761.991725,270766.1623872403
causal,0.023357214690901212,56621.14005625,183031.5694182028
causal,0.023357214690901212,173732.5981,561602.0810911749
causal,0.023357214690901212,25378.859225,82038.83619052354
causal,0.023357214690901212,66320.83414375,214386.47025467263
causal,0.023357214690901212,132786.6074,429241.4657492928
causal,0.023357214690901212,150368.9083,486077.41296817706
causal,0.023357214690901212,71827.518425,232187.1903617995
causal,0.03792690190732246,62216937.8368,201120354.78888714
causal,0.03792690190732246,76024430.2848,245753984.73658475
causal,0.03792690190732246,90664286.3872,293078285.0918396
causal,0.03792690190732246,89155678.2208,288201609.7006518
causal,0.03792690190732246,61612896.9856,199167752.9006523
