model,acc,sparsity
0,0.0615,0.09474277858927135
1,0.1205,0.18317178436851686
2,0.1546,0.26550473136034547
3,0.1669,0.3419593335873661
4,0.1941,0.41275330507218766
5,0.1571,0.478104359837419
6,0.1552,0.5382302780600364
7,0.0536,0.5933487076082815
8,0.062,0.6436773625047632
9,0.0298,0.6894340229264575
10,0.0064,0.7308363367416063
11,0.0086,0.7681020841271857
12,0.0054,0.8014489129514374
13,0.0054,0.8310946033913374
14,0.0055,0.8572568033151277
15,0.0066,0.8801532928997841
16,0.005,0.9000017200135484
17,0.005,0.9170198648333968
18,0.0098,0.9314253752275711
19,0.006,0.9434360313730471
20,0.0071,0.9532695472924341
21,0.0097,0.9611435708539735
